SampleID	Treatment	Time	Species	Abundance		X.SampleID	Time	Treatment	Species	Abundance
CC01A	Control	0	Lactobacillus	0.063575168		CC01A	0	1	Lactobacillus	1430
CC01B	Control	1	Lactobacillus	0.030629951		CC01B	1	1	Lactobacillus	379
CC01C	Control	2	Lactobacillus	0.026107956		CC01C	2	1	Lactobacillus	386
CC01D	Control	3	Lactobacillus	0.058233122		CC01D	3	1	Lactobacillus	1193
CC02A	Control	0	Lactobacillus	0.092632877		CC02A	0	1	Lactobacillus	2455
CC02B	Control	1	Lactobacillus	0.01571045		CC02B	1	1	Lactobacillus	296
CC02C	Control	2	Lactobacillus	0.015759431		CC02C	2	1	Lactobacillus	337
CC02D	Control	3	Lactobacillus	0.036802271		CC02D	3	1	Lactobacillus	750
CC03A	Control	0	Lactobacillus	0.025690656		CC03A	0	1	Lactobacillus	280
CC03B	Control	1	Lactobacillus	0.08576857		CC03B	1	1	Lactobacillus	906
CC03C	Control	2	Lactobacillus	0.036543909		CC03C	2	1	Lactobacillus	377
CC03D	Control	3	Lactobacillus	0.080859577		CC03D	3	1	Lactobacillus	1214
CC04A	Control	0	Lactobacillus	0.100211668		CC04A	0	1	Lactobacillus	1446
CC04B	Control	1	Lactobacillus	0.03849368		CC04B	1	1	Lactobacillus	703
CC04C	Control	2	Lactobacillus	0.025406575		CC04C	2	1	Lactobacillus	357
CC04D	Control	3	Lactobacillus	0.111262048		CC04D	3	1	Lactobacillus	1656
CC05A	Control	0	Lactobacillus	0.080956243		CC05A	0	1	Lactobacillus	2282
CC05B	Control	1	Lactobacillus	0.048621864		CC05B	1	1	Lactobacillus	438
CC05C	Control	2	Lactobacillus	0.03149781		CC05C	2	1	Lactobacillus	454
CC05D	Control	3	Lactobacillus	0.051181488		CC05D	3	1	Lactobacillus	1533
CC06C	Control	2	Lactobacillus	0.007202453		CC06C	2	1	Lactobacillus	166
CC06D	Control	3	Lactobacillus	0.008012296		CC06D	3	1	Lactobacillus	231
CC07A	Control	0	Lactobacillus	0.065472961		CC07A	0	1	Lactobacillus	719
CC07B	Control	1	Lactobacillus	0.120444101		CC07B	1	1	Lactobacillus	2584
CC07C	Control	2	Lactobacillus	0.189637418		CC07C	2	1	Lactobacillus	3385
CC07D	Control	3	Lactobacillus	0.081890936		CC07D	3	1	Lactobacillus	836
CC08A	Control	0	Lactobacillus	0.016706444		CC08A	0	1	Lactobacillus	125
CC08B	Control	1	Lactobacillus	0.060039575		CC08B	1	1	Lactobacillus	1106
CC08C	Control	2	Lactobacillus	0.010996119		CC08C	2	1	Lactobacillus	144
CC08D	Control	3	Lactobacillus	0.028552827		CC08D	3	1	Lactobacillus	299
CC09A	Control	0	Lactobacillus	0.192535236		CC09A	0	1	Lactobacillus	4317
CC09B	Control	1	Lactobacillus	0.043910677		CC09B	1	1	Lactobacillus	1116
CC09C	Control	2	Lactobacillus	0.09867444		CC09C	2	1	Lactobacillus	1750
CC09D	Control	3	Lactobacillus	0.015492958		CC09D	3	1	Lactobacillus	181
CC10A	Control	0	Lactobacillus	0.083906369		CC10A	0	1	Lactobacillus	1183
CC11A	Control	0	Lactobacillus	0.081996308		CC11A	0	1	Lactobacillus	1133
CC11B	Control	1	Lactobacillus	0.019335347		CC11B	1	1	Lactobacillus	432
CC11C	Control	2	Lactobacillus	0.039429454		CC11C	2	1	Lactobacillus	402
CC11D	Control	3	Lactobacillus	0.058820949		CC11D	3	1	Lactobacillus	1290
CC12A	Control	0	Lactobacillus	0.003025015		CC12A	0	1	Lactobacillus	22
CC12B	Control	1	Lactobacillus	0.04090281		CC12B	1	1	Lactobacillus	377
CC12C	Control	2	Lactobacillus	0.064392437		CC12C	2	1	Lactobacillus	467
CC12D	Control	3	Lactobacillus	0.019522435		CC12D	3	1	Lactobacillus	359
CC13A	Treatment	0	Lactobacillus	0.010425101		CC13A	0	2	Lactobacillus	96
CC13B	Treatment	1	Lactobacillus	0.004384896		CC13B	1	2	Lactobacillus	30
CC13C	Treatment	2	Lactobacillus	0.007180787		CC13C	2	2	Lactobacillus	118
CC13D	Treatment	3	Lactobacillus	0.003884455		CC13D	3	2	Lactobacillus	49
CC14A	Treatment	0	Lactobacillus	0.022313784		CC14A	0	2	Lactobacillus	393
CC14B	Treatment	1	Lactobacillus	0.001926782		CC14B	1	2	Lactobacillus	44
CC14C	Treatment	2	Lactobacillus	0.007161925		CC14C	2	2	Lactobacillus	104
CC14D	Treatment	3	Lactobacillus	0.003794643		CC14D	3	2	Lactobacillus	92
CC15A	Treatment	0	Lactobacillus	0.02493471		CC15A	0	2	Lactobacillus	400
CC15B	Treatment	1	Lactobacillus	0.006447221		CC15B	1	2	Lactobacillus	142
CC15C	Treatment	2	Lactobacillus	0.01223154		CC15C	2	2	Lactobacillus	285
CC15D	Treatment	3	Lactobacillus	0.01001292		CC15D	3	2	Lactobacillus	203
CC16A	Treatment	0	Lactobacillus	0.012618169		CC16A	0	2	Lactobacillus	287
CC16B	Treatment	1	Lactobacillus	0.034694207		CC16B	1	2	Lactobacillus	722
CC16C	Treatment	2	Lactobacillus	0.004053805		CC16C	2	2	Lactobacillus	22
CC16D	Treatment	3	Lactobacillus	0.007576783		CC16D	3	2	Lactobacillus	152
CC17A	Treatment	0	Lactobacillus	0.008136449		CC17A	0	2	Lactobacillus	175
CC17B	Treatment	1	Lactobacillus	0.009265827		CC17B	1	2	Lactobacillus	188
CC17C	Treatment	2	Lactobacillus	0.008957134		CC17C	2	2	Lactobacillus	166
CC17D	Treatment	3	Lactobacillus	0.006318681		CC17D	3	2	Lactobacillus	65
CC18A	Treatment	0	Lactobacillus	0.126390707		CC18A	0	2	Lactobacillus	1531
CC18C	Treatment	2	Lactobacillus	0.012114876		CC18C	2	2	Lactobacillus	189
